Reference_Date,Gold_Ask_995,Gold_Bid_995,Sov_Old_Ask,Sov_Old_Bid,Sov_New_Upto1973_Ask,Sov_New_Upto1973_Bid,Sov_New_Post1974_Ask,Sov_New_Post1974_Bid
2011-07-12,34.17,38.64,252.26,304.55,252.26,304.55,252.26,304.55
2011-07-13,34.39,38.88,253.76,306.81,253.76,306.81,253.76,306.81
2011-07-14,34.23,38.7,253.12,304.79,253.12,304.79,253.12,304.79
2011-07-15,34.36,38.84,253.9,306.48,253.9,306.48,253.9,306.48
2011-07-18,34.87,39.41,257.74,310.8,257.74,310.8,257.74,310.8
2011-07-20,34.57,39.08,255.7,308.45,255.7,308.45,255.7,308.45
2011-07-22,33.95,38.38,250.74,302.57,250.74,302.57,250.74,302.57
2011-07-25,34.54,39.05,255.17,308.05,255.17,308.05,255.17,308.05
2011-07-26,34.32,38.79,253.44,305.96,253.44,305.96,253.44,305.96
2011-07-28,34.58,39.09,255.41,308.34,255.41,308.34,255.41,308.34
2011-08-02,34.99,39.56,258.74,312.15,258.74,312.15,258.74,312.15
2011-08-03,35.87,40.55,265.06,319.71,265.06,319.71,265.06,319.71
2011-08-05,36.14,40.85,266.85,321.87,266.85,321.87,266.85,321.87
2011-08-08,36.58,41.35,269.87,326.0,269.87,326.0,269.87,326.0
2011-08-09,37.97,42.91,280.64,338.43,280.64,338.43,280.64,338.43
